County,Election Date,Precinct,Contest Group ID,Contest Type,Contest Name,Choice,Choice Party,Vote For,Election Day,One Stop,Absentee by Mail,Provisional,Total Votes,Real Precinct
JOHNSTON,11/7/23,PR24,20,C,TOWN OF SMITHFIELD MAYOR,Marlon Lee, ,1,3,2,0,0,5,Y
JOHNSTON,11/7/23,PR24,20,C,TOWN OF SMITHFIELD MAYOR,Write-In (Miscellaneous),,1,0,0,0,0,0,Y
JOHNSTON,11/7/23,PR24,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,Doris Louise Wallace, ,3,2,2,0,0,4,Y
JOHNSTON,11/7/23,PR24,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,Felicia C. Baxter, ,3,1,3,0,0,4,Y
JOHNSTON,11/7/23,PR24,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,John A. Dunn, ,3,3,2,0,0,5,Y
JOHNSTON,11/7/23,PR24,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,Roger A. Wood, ,3,3,2,0,0,5,Y
JOHNSTON,11/7/23,PR24,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,Stephen Rabil, ,3,2,0,0,0,2,Y
JOHNSTON,11/7/23,PR24,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,Stuart Ashby Lee, ,3,1,1,0,0,2,Y
JOHNSTON,11/7/23,PR24,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,Write-In (Miscellaneous),,3,0,0,0,0,0,Y
JOHNSTON,11/7/23,PR26,20,C,TOWN OF SMITHFIELD MAYOR,Andy Moore, ,1,27,23,1,0,51,Y
JOHNSTON,11/7/23,PR26,20,C,TOWN OF SMITHFIELD MAYOR,Marlon Lee, ,1,122,106,1,0,229,Y
JOHNSTON,11/7/23,PR26,20,C,TOWN OF SMITHFIELD MAYOR,Write-In (Miscellaneous),,1,0,0,0,0,0,Y
JOHNSTON,11/7/23,PR26,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,Doris Louise Wallace, ,3,99,80,2,0,181,Y
JOHNSTON,11/7/23,PR26,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,Felicia C. Baxter, ,3,49,43,2,0,94,Y
JOHNSTON,11/7/23,PR26,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,John A. Dunn, ,3,18,20,0,0,38,Y
JOHNSTON,11/7/23,PR26,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,Roger A. Wood, ,3,30,22,0,0,52,Y
JOHNSTON,11/7/23,PR26,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,Stephen Rabil, ,3,38,31,1,0,70,Y
JOHNSTON,11/7/23,PR26,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,Stuart Ashby Lee, ,3,36,44,0,0,80,Y
JOHNSTON,11/7/23,PR26,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,Write-In (Miscellaneous),,3,3,4,0,0,7,Y
JOHNSTON,11/7/23,PR27A,20,C,TOWN OF SMITHFIELD MAYOR,Andy Moore, ,1,87,84,1,0,172,Y
JOHNSTON,11/7/23,PR27A,20,C,TOWN OF SMITHFIELD MAYOR,Marlon Lee, ,1,44,46,2,0,92,Y
JOHNSTON,11/7/23,PR27A,20,C,TOWN OF SMITHFIELD MAYOR,Write-In (Miscellaneous),,1,0,2,0,0,2,Y
JOHNSTON,11/7/23,PR27A,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,Doris Louise Wallace, ,3,49,40,0,0,89,Y
JOHNSTON,11/7/23,PR27A,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,Felicia C. Baxter, ,3,33,19,2,0,54,Y
JOHNSTON,11/7/23,PR27A,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,John A. Dunn, ,3,68,76,1,0,145,Y
JOHNSTON,11/7/23,PR27A,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,Roger A. Wood, ,3,82,62,0,0,144,Y
JOHNSTON,11/7/23,PR27A,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,Stephen Rabil, ,3,74,65,1,0,140,Y
JOHNSTON,11/7/23,PR27A,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,Stuart Ashby Lee, ,3,29,26,1,0,56,Y
JOHNSTON,11/7/23,PR27A,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,Write-In (Miscellaneous),,3,0,2,0,0,2,Y
JOHNSTON,11/7/23,PR27B,20,C,TOWN OF SMITHFIELD MAYOR,Andy Moore, ,1,59,41,0,0,100,Y
JOHNSTON,11/7/23,PR27B,20,C,TOWN OF SMITHFIELD MAYOR,Marlon Lee, ,1,18,32,1,1,52,Y
JOHNSTON,11/7/23,PR27B,20,C,TOWN OF SMITHFIELD MAYOR,Write-In (Miscellaneous),,1,0,0,0,0,0,Y
JOHNSTON,11/7/23,PR27B,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,Doris Louise Wallace, ,3,21,39,1,0,61,Y
JOHNSTON,11/7/23,PR27B,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,Felicia C. Baxter, ,3,10,9,1,0,20,Y
JOHNSTON,11/7/23,PR27B,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,John A. Dunn, ,3,45,32,1,0,78,Y
JOHNSTON,11/7/23,PR27B,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBERS AT-LARGE,Roger A. Wood, ,3,59,39,1,0,99,Y
