County,Election Date,Precinct,Contest Group ID,Contest Type,Contest Name,Choice,Choice Party,Vote For,Election Day,One Stop,Absentee by Mail,Provisional,Total Votes,Real Precinct
WAKE,11/8/22,Jan-46,920017,C,CITY OF RALEIGH MAYOR,Tom Fetzer (Write-In),,1,0,0,0,0,0,Y
WAKE,11/8/22,Jan-46,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Joshua Bradley, ,2,51,0,0,0,51,Y
WAKE,11/8/22,Jan-47,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Christina Jones (Write-In),,2,0,0,0,0,0,Y
WAKE,11/8/22,Jan-47,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Megan Patton (Write-In),,2,0,0,0,0,0,Y
WAKE,11/8/22,Jan-47,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Ms. Stormie Denise Forte, ,2,185,0,0,0,185,Y
WAKE,11/8/22,Jan-47,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Paul Fitts (Write-In),,2,1,0,0,0,1,Y
WAKE,11/8/22,Jan-48,22,C,CITY OF RALEIGH CITY COUNCIL DISTRICT D,Write-In (Miscellaneous),,1,3,0,0,0,3,Y
WAKE,11/8/22,Jan-48,920017,C,CITY OF RALEIGH MAYOR,John Odom (Write-In),,1,0,0,0,0,0,Y
WAKE,11/8/22,Jan-48,920017,C,CITY OF RALEIGH MAYOR,Terrance (Truth) Ruth, ,1,355,0,0,0,355,Y
WAKE,11/8/22,Jan-48,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,John Odom, ,2,149,0,0,0,149,Y
WAKE,11/8/22,Jan-49,22,C,CITY OF RALEIGH CITY COUNCIL DISTRICT D,Rob Baumgart, ,1,66,0,0,0,66,Y
WAKE,11/8/22,Jan-49,920017,C,CITY OF RALEIGH MAYOR,Write-In (Miscellaneous),,1,8,0,0,0,8,Y
WAKE,11/8/22,Jan-49,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Anne S. Franklin, ,2,154,0,0,0,154,Y
WAKE,11/8/22,Jan-49,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Jane Harrison (Write-In),,2,0,0,0,0,0,Y
WAKE,11/8/22,OSSE 1-40,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Minu Lee (Write-In),,2,0,0,0,0,0,N
WAKE,11/8/22,OSSE 1-40,920024,C,CITY OF RALEIGH PARKS AND RECREATIONAL FACILITIES BONDS,Yes, ,1,0,1956,0,0,1956,N
WAKE,11/8/22,OSSE 41-80,19,C,CITY OF RALEIGH CITY COUNCIL DISTRICT A,Write-In (Miscellaneous),,1,0,0,0,0,0,N
WAKE,11/8/22,OSSE 41-80,20,C,CITY OF RALEIGH CITY COUNCIL DISTRICT B,Write-In (Miscellaneous),,1,0,1,0,0,1,N
WAKE,11/8/22,OSSE 41-80,21,C,CITY OF RALEIGH CITY COUNCIL DISTRICT C,Write-In (Miscellaneous),,1,0,0,0,0,0,N
WAKE,11/8/22,OSSE 41-80,22,C,CITY OF RALEIGH CITY COUNCIL DISTRICT D,Write-In (Miscellaneous),,1,0,0,0,0,0,N
WAKE,11/8/22,OSSE 41-80,920023,C,CITY OF RALEIGH CITY COUNCIL DISTRICT E,Write-In (Miscellaneous),,1,0,1,0,0,1,N
WAKE,11/8/22,19-13,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Jonathan Melton, ,2,107,0,0,0,107,Y
WAKE,11/8/22,19-14,20,C,CITY OF RALEIGH CITY COUNCIL DISTRICT B,Zainab (ZB) Baloch, ,1,40,0,0,0,40,Y
WAKE,11/8/22,OSCS 41-80,21,C,CITY OF RALEIGH CITY COUNCIL DISTRICT C,Frank T. Fields III, ,1,0,2,0,0,2,N
WAKE,11/8/22,OSCS 41-80,920017,C,CITY OF RALEIGH MAYOR,Jason Doll (Write-In),,1,0,0,0,0,0,N
WAKE,11/8/22,OSCS 41-80,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Mary Black-Branch (Write-In),,2,0,0,0,0,0,N
WAKE,11/8/22,OSCS 41-80,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Portia W. Rochelle, ,2,0,22,0,0,22,N
WAKE,11/8/22,OSCS 81-120,22,C,CITY OF RALEIGH CITY COUNCIL DISTRICT D,Jennifer Truman, ,1,0,2,0,0,2,N
WAKE,11/8/22,OSCS 81-120,920017,C,CITY OF RALEIGH MAYOR,Charles Francis (Write-In),,1,0,0,0,0,0,N
WAKE,11/8/22,OSCS 81-120,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Minu Lee (Write-In),,2,0,0,0,0,0,N
WAKE,11/8/22,OSGR 1-40,920017,C,CITY OF RALEIGH MAYOR,James Bledsoe (Write-In),,1,0,0,0,0,0,N
WAKE,11/8/22,OSGR 1-40,920017,C,CITY OF RALEIGH MAYOR,Jonathan Felts (Write-In),,1,0,0,0,0,0,N
WAKE,11/8/22,OSGR 1-40,920017,C,CITY OF RALEIGH MAYOR,Mary-Ann Baldwin, ,1,0,2011,0,0,2011,N
WAKE,11/8/22,17-11,20,C,CITY OF RALEIGH CITY COUNCIL DISTRICT B,David Cox (Write-In),,1,0,0,0,0,0,Y
WAKE,11/8/22,17-11,920017,C,CITY OF RALEIGH MAYOR,Mary-Ann Baldwin, ,1,344,0,0,0,344,Y
WAKE,11/8/22,17-11,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Jonathan Melton, ,2,156,0,0,0,156,Y
WAKE,11/8/22,13-Jul,920017,C,CITY OF RALEIGH MAYOR,Jonathan Felts (Write-In),,1,0,0,0,0,0,Y
WAKE,11/8/22,13-Jul,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Ms. Stormie Denise Forte, ,2,192,0,0,0,192,Y
WAKE,11/8/22,13-Jul,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Whitney Hill (Write-In),,2,2,0,0,0,2,Y
WAKE,11/8/22,2-Aug,920017,C,CITY OF RALEIGH MAYOR,James Bledsoe (Write-In),,1,0,0,0,0,0,Y
WAKE,11/8/22,2-Aug,920024,C,CITY OF RALEIGH PARKS AND RECREATIONAL FACILITIES BONDS,No, ,1,251,0,0,0,251,Y
WAKE,11/8/22,3-Aug,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,John Odom, ,2,364,0,0,0,364,Y
WAKE,11/8/22,3-Aug,920023,C,CITY OF RALEIGH CITY COUNCIL DISTRICT E,David Knight, ,1,419,0,0,0,419,Y
WAKE,11/8/22,5-Aug,920017,C,CITY OF RALEIGH MAYOR,DaQuanta Copeland, ,1,17,0,0,0,17,Y
