county_desc,election_date,stats_type,precinct_abbrv,vtd_abbrv,party_cd,race_code,ethnic_code,sex_code,age,total_voters,update_date,
MECKLENBURG,11/07/2023,voter,225,225,DEM,A,NL,F,Age 26 - 40,5,11/27/2023,
MECKLENBURG,11/07/2023,voter,049,049,DEM,O,NL,F,Age 26 - 40,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,220,220,DEM,B,UN,M,Age 26 - 40,6,11/27/2023,
MECKLENBURG,11/07/2023,voter,149,149,UNA,B,HL,F,Age Over 66,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,091,091,DEM,A,UN,M,Age 26 - 40,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,201,201,REP,A,NL,M,Age 41 - 65,5,11/27/2023,
MECKLENBURG,11/07/2023,voter,067,067,DEM,B,NL,F,Age 26 - 40,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,220,220,LIB,W,NL,F,Age Over 66,2,11/27/2023,
MECKLENBURG,11/07/2023,voter,079,079,LIB,B,NL,F,Age 26 - 40,2,11/27/2023,
MECKLENBURG,11/07/2023,voter,120,120,UNA,M,UN,M,Age 26 - 40,3,11/27/2023,
MECKLENBURG,11/07/2023,voter,141,141,UNA,O,NL,M,Age 26 - 40,5,11/27/2023,
MECKLENBURG,11/07/2023,voter,007,007,UNA,U,HL,F,Age 18 - 25,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,205,205,DEM,O,HL,M,Age Over 66,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,204.1,204.1,UNA,B,NL,F,Age 26 - 40,93,11/27/2023,
MECKLENBURG,11/07/2023,voter,076,076,UNA,B,UN,F,Age 41 - 65,2,11/27/2023,
MECKLENBURG,11/07/2023,voter,080,080,REP,B,UN,M,Age Over 66,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,102,102,UNA,W,NL,U,Age 26 - 40,4,11/27/2023,
MECKLENBURG,11/07/2023,voter,105,105,DEM,A,NL,M,Age 26 - 40,6,11/27/2023,
MECKLENBURG,11/07/2023,voter,058,058,DEM,B,UN,U,Age 41 - 65,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,210,210,DEM,M,NL,M,Age 41 - 65,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,070,070,REP,W,UN,M,Age 41 - 65,12,11/27/2023,
MECKLENBURG,11/07/2023,voter,225,225,LIB,U,UN,U,Age 41 - 65,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,046,046,UNA,O,NL,M,Age 41 - 65,7,11/27/2023,
MECKLENBURG,11/07/2023,voter,214,214,DEM,U,UN,U,Age Over 66,2,11/27/2023,
MECKLENBURG,11/07/2023,voter,071,071,REP,O,HL,M,Age 26 - 40,2,11/27/2023,
MECKLENBURG,11/07/2023,voter,213,213,DEM,W,HL,U,Age 26 - 40,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,243,243,DEM,B,UN,M,Age Over 66,21,11/27/2023,
MECKLENBURG,11/07/2023,voter,232,232,DEM,W,UN,F,Age Over 66,22,11/27/2023,
MECKLENBURG,11/07/2023,voter,088,088,REP,W,NL,U,Age 26 - 40,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,095,095,UNA,M,NL,M,Age 26 - 40,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,124,124,DEM,B,NL,U,Age 41 - 65,3,11/27/2023,
MECKLENBURG,11/07/2023,voter,242,242,DEM,U,NL,F,Age 26 - 40,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,205,205,DEM,U,HL,F,Age 18 - 25,5,11/27/2023,
MECKLENBURG,11/07/2023,voter,097,097,UNA,W,HL,F,Age 41 - 65,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,237,237,DEM,M,NL,M,Age 41 - 65,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,240,240,UNA,W,HL,F,Age 26 - 40,6,11/27/2023,
MECKLENBURG,11/07/2023,voter,087,087,UNA,W,UN,F,Age 41 - 65,16,11/27/2023,
MECKLENBURG,11/07/2023,voter,131,131,DEM,A,UN,M,Age 41 - 65,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,227,227,DEM,U,NL,U,Age 26 - 40,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,201,201,REP,O,HL,M,Age 18 - 25,11,11/27/2023,
MECKLENBURG,11/07/2023,voter,126,126,UNA,W,UN,M,Age 41 - 65,7,11/27/2023,
MECKLENBURG,11/07/2023,voter,029,029,DEM,O,NL,M,Age 41 - 65,3,11/27/2023,
MECKLENBURG,11/07/2023,voter,146,146,UNA,W,UN,U,Age 41 - 65,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,105,105,LIB,B,UN,M,Age 26 - 40,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,036,036,REP,A,NL,F,Age 18 - 25,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,200,200,UNA,B,NL,U,Age 26 - 40,2,11/27/2023,
MECKLENBURG,11/07/2023,voter,140,140,UNA,U,NL,M,Age 41 - 65,3,11/27/2023,
MECKLENBURG,11/07/2023,voter,086,086,DEM,O,NL,M,Age 18 - 25,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,146,146,DEM,B,HL,M,Age 18 - 25,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,002,002,REP,U,UN,M,Age 41 - 65,2,11/27/2023,
MECKLENBURG,11/07/2023,voter,080,080,DEM,A,NL,F,Age 18 - 25,2,11/27/2023,
MECKLENBURG,11/07/2023,voter,071,071,REP,U,UN,U,Age 26 - 40,10,11/27/2023,
MECKLENBURG,11/07/2023,voter,093,093,REP,U,HL,M,Age 26 - 40,1,11/27/2023,
