,County,Election Date,Precinct,Contest Group ID,Contest Type,Contest Name,Choice,Choice Party,Vote For,Election Day,One Stop,Absentee by Mail,Provisional,Total Votes,Real Precinct
7598,MECKLENBURG,11/7/23,61,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Victoria Watlington,DEM,4,208,110,0,0,318,Y
7633,MECKLENBURG,11/7/23,62,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Dimple Ajmera,DEM,4,129,73,0,0,202,Y
7635,MECKLENBURG,11/7/23,62,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,"James (Smuggie) Mitchell, Jr.",DEM,4,122,65,0,0,187,Y
7641,MECKLENBURG,11/7/23,62,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,LaWana Slack-Mayfield,DEM,4,127,70,0,0,197,Y
7647,MECKLENBURG,11/7/23,62,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Steven J. DiFiore II,LIB,4,26,12,0,0,38,Y
7649,MECKLENBURG,11/7/23,62,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Victoria Watlington,DEM,4,131,66,0,0,197,Y
7682,MECKLENBURG,11/7/23,63,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Dimple Ajmera,DEM,4,119,74,0,0,193,Y
7684,MECKLENBURG,11/7/23,63,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,"James (Smuggie) Mitchell, Jr.",DEM,4,111,76,0,0,187,Y
7690,MECKLENBURG,11/7/23,63,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,LaWana Slack-Mayfield,DEM,4,114,70,0,0,184,Y
7696,MECKLENBURG,11/7/23,63,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Steven J. DiFiore II,LIB,4,32,18,0,0,50,Y
7698,MECKLENBURG,11/7/23,63,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Victoria Watlington,DEM,4,116,74,0,0,190,Y
7777,MECKLENBURG,11/7/23,128,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Dimple Ajmera,DEM,4,303,166,0,0,469,Y
7779,MECKLENBURG,11/7/23,128,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,"James (Smuggie) Mitchell, Jr.",DEM,4,274,154,0,0,428,Y
7785,MECKLENBURG,11/7/23,128,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,LaWana Slack-Mayfield,DEM,4,282,161,0,0,443,Y
7791,MECKLENBURG,11/7/23,128,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Steven J. DiFiore II,LIB,4,113,34,0,0,147,Y
7793,MECKLENBURG,11/7/23,128,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Victoria Watlington,DEM,4,302,164,0,0,466,Y
7853,MECKLENBURG,11/7/23,130,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Dimple Ajmera,DEM,4,136,58,0,0,194,Y
7855,MECKLENBURG,11/7/23,130,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,"James (Smuggie) Mitchell, Jr.",DEM,4,130,55,0,0,185,Y
7861,MECKLENBURG,11/7/23,130,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,LaWana Slack-Mayfield,DEM,4,131,58,0,0,189,Y
7867,MECKLENBURG,11/7/23,130,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Steven J. DiFiore II,LIB,4,42,18,0,0,60,Y
7869,MECKLENBURG,11/7/23,130,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Victoria Watlington,DEM,4,137,58,0,0,195,Y
7902,MECKLENBURG,11/7/23,131,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Dimple Ajmera,DEM,4,182,110,0,0,292,Y
7904,MECKLENBURG,11/7/23,131,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,"James (Smuggie) Mitchell, Jr.",DEM,4,168,97,0,0,265,Y
