county_desc,election_date,stats_type,precinct_abbrv,vtd_abbrv,party_cd,race_code,ethnic_code,sex_code,age,total_voters,update_date,
RANDOLPH,11/07/2023,voter,AS,11,DEM,A,NL,F,Age 41 - 65,1,11/27/2023,
RANDOLPH,11/07/2023,voter,RM,31,UNA,A,NL,F,Age 26 - 40,2,11/27/2023,
RANDOLPH,11/07/2023,voter,RN,32,UNA,A,UN,M,Age 18 - 25,1,11/27/2023,
RANDOLPH,11/07/2023,voter,PR,29,REP,A,UN,F,Age 41 - 65,1,11/27/2023,
RANDOLPH,11/07/2023,voter,AR,02,REP,W,UN,F,Age 41 - 65,31,11/27/2023,
RANDOLPH,11/07/2023,voter,AS,04,UNA,B,UN,F,Age 41 - 65,3,11/27/2023,
RANDOLPH,11/07/2023,voter,AS,04,DEM,W,UN,M,Age 41 - 65,7,11/27/2023,
RANDOLPH,11/07/2023,voter,AN,10,DEM,U,UN,U,Age Over 66,5,11/27/2023,
RANDOLPH,11/07/2023,voter,SO,34,UNA,O,HL,F,Age 26 - 40,3,11/27/2023,
RANDOLPH,11/07/2023,voter,DR,19,UNA,B,UN,F,Age 41 - 65,1,11/27/2023,
RANDOLPH,11/07/2023,voter,SE,17,REP,W,UN,M,Age 41 - 65,46,11/27/2023,
RANDOLPH,11/07/2023,voter,GR,21,UNA,O,NL,F,Age 41 - 65,2,11/27/2023,
RANDOLPH,11/07/2023,voter,UG,40,DEM,U,UN,U,Age 18 - 25,5,11/27/2023,
RANDOLPH,11/07/2023,voter,AR,01,UNA,W,UN,U,Age 41 - 65,2,11/27/2023,
RANDOLPH,11/07/2023,voter,AR,02,UNA,O,HL,M,Age 41 - 65,2,11/27/2023,
RANDOLPH,11/07/2023,voter,UG,40,REP,W,NL,M,Age 26 - 40,58,11/27/2023,
RANDOLPH,11/07/2023,voter,UG,40,REP,U,UN,U,Age 18 - 25,9,11/27/2023,
RANDOLPH,11/07/2023,voter,LC,22,REP,W,NL,U,Age 41 - 65,4,11/27/2023,
RANDOLPH,11/07/2023,voter,GR,21,UNA,W,HL,F,Age 41 - 65,6,11/27/2023,
RANDOLPH,11/07/2023,voter,AW,07,REP,B,UN,M,Age 18 - 25,2,11/27/2023,
RANDOLPH,11/07/2023,voter,TR,28,REP,A,UN,M,Age 26 - 40,2,11/27/2023,
RANDOLPH,11/07/2023,voter,SO,34,DEM,U,HL,F,Age 18 - 25,1,11/27/2023,
