,county_desc,election_date,stats_type,precinct_abbrv,party_cd,race_code,ethnic_code,sex_code,age,total_voters,update_date
9580,RANDOLPH,11/07/2023,voter,RN,DEM,W,UN,M,Age 41 - 65,12,11/27/2023
9629,RANDOLPH,11/07/2023,voter,AN,DEM,O,HL,M,Age 18 - 25,18,11/27/2023
9678,RANDOLPH,11/07/2023,voter,AR,UNA,U,HL,M,Age 18 - 25,1,11/27/2023
9680,RANDOLPH,11/07/2023,voter,,REP,U,HL,F,Age Over 66,1,11/27/2023
9739,RANDOLPH,11/07/2023,voter,AW,LIB,W,NL,F,Age 26 - 40,3,11/27/2023
9789,RANDOLPH,11/07/2023,voter,SW,UNA,O,UN,F,Age 18 - 25,1,11/27/2023
9835,RANDOLPH,11/07/2023,voter,SE,UNA,W,UN,M,Age Over 66,8,11/27/2023
9856,RANDOLPH,11/07/2023,voter,UG,UNA,B,NL,F,Age Over 66,1,11/27/2023
9916,RANDOLPH,11/07/2023,voter,AR,UNA,W,UN,U,Age 26 - 40,1,11/27/2023
10052,RANDOLPH,11/07/2023,voter,AS,DEM,W,UN,F,Age 41 - 65,11,11/27/2023
10193,RANDOLPH,11/07/2023,voter,AR,LIB,W,NL,F,Age 26 - 40,1,11/27/2023
10271,RANDOLPH,11/07/2023,voter,UG,REP,W,HL,M,Age 26 - 40,1,11/27/2023
10406,RANDOLPH,11/07/2023,voter,TR,REP,O,UN,M,Age 41 - 65,1,11/27/2023
10636,RANDOLPH,11/07/2023,voter,AW,UNA,U,UN,M,Age 18 - 25,6,11/27/2023
10662,RANDOLPH,11/07/2023,voter,TR,REP,O,HL,M,Age 18 - 25,1,11/27/2023
10681,RANDOLPH,11/07/2023,voter,,UNA,U,UN,U,Age 26 - 40,11,11/27/2023
10951,RANDOLPH,11/07/2023,voter,GR,DEM,U,UN,M,Age 18 - 25,3,11/27/2023
10954,RANDOLPH,11/07/2023,voter,SW,UNA,W,NL,F,Age 18 - 25,16,11/27/2023
11045,RANDOLPH,11/07/2023,voter,LB,UNA,U,HL,F,Age 26 - 40,3,11/27/2023
11046,RANDOLPH,11/07/2023,voter,SW,REP,W,UN,M,Age 18 - 25,32,11/27/2023
11089,RANDOLPH,11/07/2023,voter,AS,UNA,U,UN,U,Age 18 - 25,8,11/27/2023
11096,RANDOLPH,11/07/2023,voter,UG,DEM,U,HL,F,Age 18 - 25,4,11/27/2023
11126,RANDOLPH,11/07/2023,voter,BC,UNA,W,NL,M,Age 41 - 65,123,11/27/2023
11176,RANDOLPH,11/07/2023,voter,AE,DEM,B,NL,F,Age 26 - 40,35,11/27/2023
11212,RANDOLPH,11/07/2023,voter,LB,DEM,O,UN,M,Age 18 - 25,1,11/27/2023
11254,RANDOLPH,11/07/2023,voter,UG,REP,O,UN,M,Age Over 66,1,11/27/2023
11299,RANDOLPH,11/07/2023,voter,DR,UNA,U,UN,M,Age 41 - 65,2,11/27/2023
11350,RANDOLPH,11/07/2023,voter,SO,UNA,B,UN,F,Age 41 - 65,2,11/27/2023
11396,RANDOLPH,11/07/2023,voter,SO,REP,W,NL,U,Age 26 - 40,2,11/27/2023
11486,RANDOLPH,11/07/2023,voter,RN,REP,W,NL,F,Age Over 66,92,11/27/2023
11548,RANDOLPH,11/07/2023,voter,TR,DEM,B,UN,M,Age 26 - 40,7,11/27/2023
11594,RANDOLPH,11/07/2023,voter,AE,DEM,O,HL,M,Age Over 66,4,11/27/2023
11732,RANDOLPH,11/07/2023,voter,AS,DEM,A,NL,F,Age 41 - 65,1,11/27/2023
11899,RANDOLPH,11/07/2023,voter,RM,UNA,A,NL,F,Age 26 - 40,2,11/27/2023
11928,RANDOLPH,11/07/2023,voter,RN,UNA,A,UN,M,Age 18 - 25,1,11/27/2023
11990,RANDOLPH,11/07/2023,voter,,REP,A,UN,F,Age 41 - 65,1,11/27/2023
12007,RANDOLPH,11/07/2023,voter,AR,REP,W,UN,F,Age 41 - 65,31,11/27/2023
12024,RANDOLPH,11/07/2023,voter,AS,UNA,B,UN,F,Age 41 - 65,3,11/27/2023
12086,RANDOLPH,11/07/2023,voter,AS,DEM,W,UN,M,Age 41 - 65,7,11/27/2023
12350,RANDOLPH,11/07/2023,voter,AN,DEM,U,UN,U,Age Over 66,5,11/27/2023
12421,RANDOLPH,11/07/2023,voter,SO,UNA,O,HL,F,Age 26 - 40,3,11/27/2023
12544,RANDOLPH,11/07/2023,voter,DR,UNA,B,UN,F,Age 41 - 65,1,11/27/2023
12705,RANDOLPH,11/07/2023,voter,SE,REP,W,UN,M,Age 41 - 65,46,11/27/2023
12712,RANDOLPH,11/07/2023,voter,GR,UNA,O,NL,F,Age 41 - 65,2,11/27/2023
12794,RANDOLPH,11/07/2023,voter,UG,DEM,U,UN,U,Age 18 - 25,5,11/27/2023
12888,RANDOLPH,11/07/2023,voter,AR,UNA,W,UN,U,Age 41 - 65,2,11/27/2023
12894,RANDOLPH,11/07/2023,voter,AR,UNA,O,HL,M,Age 41 - 65,2,11/27/2023
12896,RANDOLPH,11/07/2023,voter,UG,REP,W,NL,M,Age 26 - 40,58,11/27/2023
13123,RANDOLPH,11/07/2023,voter,UG,REP,U,UN,U,Age 18 - 25,9,11/27/2023
13263,RANDOLPH,11/07/2023,voter,LC,REP,W,NL,U,Age 41 - 65,4,11/27/2023
13495,RANDOLPH,11/07/2023,voter,GR,UNA,W,HL,F,Age 41 - 65,6,11/27/2023
13510,RANDOLPH,11/07/2023,voter,AW,REP,B,UN,M,Age 18 - 25,2,11/27/2023
13600,RANDOLPH,11/07/2023,voter,TR,REP,A,UN,M,Age 26 - 40,2,11/27/2023
13613,RANDOLPH,11/07/2023,voter,SO,DEM,U,HL,F,Age 18 - 25,1,11/27/2023
