county_desc,election_date,stats_type,precinct_abbrv,precinct_name,vtd_abbrv,party_cd,race_code,ethnic_code,sex_code,age,total_voters,update_date
RANDOLPH,11/07/2023,voter,AN,ASHEBORO NORTH,09,DEM,B,NL,F,Age 41 - 65,15,11/27/2023
RANDOLPH,11/07/2023,voter,AW,ASHEBORO WEST,08,DEM,O,NL,M,Age 41 - 65,4,11/27/2023
RANDOLPH,11/07/2023,voter,AE,ASHEBORO EAST,05,UNA,B,UN,M,Age 26 - 40,11,11/27/2023
RANDOLPH,11/07/2023,voter,GR,GRANT,21,REP,U,UN,M,Age 26 - 40,3,11/27/2023
RANDOLPH,11/07/2023,voter,RN,RANDLEMAN,33,DEM,O,HL,F,Age 18 - 25,1,11/27/2023
RANDOLPH,11/07/2023,voter,AW,ASHEBORO WEST,08,REP,U,UN,F,Age 26 - 40,2,11/27/2023
RANDOLPH,11/07/2023,voter,SW,SOUTHWEST,18,UNA,W,UN,F,Age 18 - 25,22,11/27/2023
RANDOLPH,11/07/2023,voter,GR,GRANT,21,DEM,W,NL,M,Age 18 - 25,1,11/27/2023
RANDOLPH,11/07/2023,voter,RN,RANDLEMAN,33,DEM,W,NL,F,Age Over 66,17,11/27/2023
RANDOLPH,11/07/2023,voter,AN,ASHEBORO NORTH,09,DEM,B,NL,F,Age 26 - 40,17,11/27/2023
RANDOLPH,11/07/2023,voter,SW,SOUTHWEST,18,REP,A,UN,M,Age Over 66,4,11/27/2023
RANDOLPH,11/07/2023,voter,UG,UNION GROVE,15,DEM,W,NL,F,Age 18 - 25,3,11/27/2023
RANDOLPH,11/07/2023,voter,AW,ASHEBORO WEST,07,REP,M,HL,F,Age Over 66,1,11/27/2023
RANDOLPH,11/07/2023,voter,AW,ASHEBORO WEST,07,REP,W,UN,F,Age 26 - 40,26,11/27/2023
RANDOLPH,11/07/2023,voter,BC,BACK CREEK,13,DEM,B,NL,M,Age 41 - 65,3,11/27/2023
RANDOLPH,11/07/2023,voter,GR,GRANT,21,UNA,O,NL,F,Age 26 - 40,1,11/27/2023
RANDOLPH,11/07/2023,voter,RN,RANDLEMAN,33,UNA,O,NL,M,Age 41 - 65,2,11/27/2023
RANDOLPH,11/07/2023,voter,UG,UNION GROVE,15,UNA,O,HL,M,Age 41 - 65,1,11/27/2023
RANDOLPH,11/07/2023,voter,DR,DEEP RIVER,19,DEM,U,HL,F,Age 18 - 25,2,11/27/2023
RANDOLPH,11/07/2023,voter,UG,UNION GROVE,15,LIB,W,NL,F,Age 18 - 25,1,11/27/2023
RANDOLPH,11/07/2023,voter,AN,ASHEBORO NORTH,10,REP,U,UN,F,Age 41 - 65,2,11/27/2023
RANDOLPH,11/07/2023,voter,UG,UNION GROVE,15,REP,O,NL,F,Age Over 66,1,11/27/2023
RANDOLPH,11/07/2023,voter,AN,ASHEBORO NORTH,09,DEM,B,UN,M,Age 41 - 65,12,11/27/2023
RANDOLPH,11/07/2023,voter,AN,ASHEBORO NORTH,10,DEM,W,NL,M,Age 18 - 25,1,11/27/2023
RANDOLPH,11/07/2023,voter,UG,UNION GROVE,16,DEM,W,UN,F,Age 26 - 40,5,11/27/2023
RANDOLPH,11/07/2023,voter,AE,ASHEBORO EAST,05,DEM,B,UN,F,Age 18 - 25,14,11/27/2023
RANDOLPH,11/07/2023,voter,RN,RANDLEMAN,33,UNA,U,NL,M,Age 18 - 25,1,11/27/2023
RANDOLPH,11/07/2023,voter,RN,RANDLEMAN,32,REP,W,UN,M,Age 18 - 25,52,11/27/2023
RANDOLPH,11/07/2023,voter,AS,ASHEBORO SOUTH,11,REP,W,NL,F,Age 26 - 40,32,11/27/2023
RANDOLPH,11/07/2023,voter,BC,BACK CREEK,13,REP,O,UN,F,Age 26 - 40,2,11/27/2023
RANDOLPH,11/07/2023,voter,UG,UNION GROVE,15,REP,W,NL,F,Age 18 - 25,21,11/27/2023
RANDOLPH,11/07/2023,voter,UG,UNION GROVE,16,UNA,B,NL,M,Age 41 - 65,1,11/27/2023
RANDOLPH,11/07/2023,voter,AS,ASHEBORO SOUTH,04,DEM,W,NL,F,Age Over 66,48,11/27/2023
RANDOLPH,11/07/2023,voter,AS,ASHEBORO SOUTH,04,UNA,W,UN,M,Age 41 - 65,38,11/27/2023
RANDOLPH,11/07/2023,voter,GR,GRANT,21,UNA,B,UN,M,Age 18 - 25,4,11/27/2023
RANDOLPH,11/07/2023,voter,DR,DEEP RIVER,20,DEM,W,UN,F,Age 18 - 25,7,11/27/2023
RANDOLPH,11/07/2023,voter,BC,BACK CREEK,13,REP,U,UN,F,Age 18 - 25,1,11/27/2023
RANDOLPH,11/07/2023,voter,SW,SOUTHWEST,24,REP,U,UN,U,Age Over 66,4,11/27/2023
RANDOLPH,11/07/2023,voter,AS,ASHEBORO SOUTH,11,UNA,U,NL,F,Age 41 - 65,1,11/27/2023
RANDOLPH,11/07/2023,voter,GR,GRANT,21,DEM,O,UN,F,Age 18 - 25,1,11/27/2023
RANDOLPH,11/07/2023,voter,DR,DEEP RIVER,20,REP,W,NL,F,Age Over 66,125,11/27/2023
RANDOLPH,11/07/2023,voter,AN,ASHEBORO NORTH,09,DEM,B,UN,F,Age 41 - 65,13,11/27/2023
RANDOLPH,11/07/2023,voter,AN,ASHEBORO NORTH,10,DEM,U,HL,F,Age 26 - 40,8,11/27/2023
RANDOLPH,11/07/2023,voter,AE,ASHEBORO EAST,06,REP,O,UN,F,Age 41 - 65,1,11/27/2023
RANDOLPH,11/07/2023,voter,AE,ASHEBORO EAST,05,REP,U,NL,U,Age 18 - 25,1,11/27/2023
RANDOLPH,11/07/2023,voter,UG,UNION GROVE,15,DEM,U,UN,U,Age Over 66,4,11/27/2023
RANDOLPH,11/07/2023,voter,AE,ASHEBORO EAST,06,LIB,W,UN,F,Age 26 - 40,2,11/27/2023
RANDOLPH,11/07/2023,voter,AS,ASHEBORO SOUTH,04,REP,W,NL,U,Age Over 66,1,11/27/2023
RANDOLPH,11/07/2023,voter,AW,ASHEBORO WEST,07,UNA,M,NL,M,Age 26 - 40,1,11/27/2023
RANDOLPH,11/07/2023,voter,UG,UNION GROVE,15,DEM,B,NL,M,Age Over 66,6,11/27/2023
RANDOLPH,11/07/2023,voter,SW,SOUTHWEST,18,REP,O,HL,M,Age 41 - 65,1,11/27/2023
RANDOLPH,11/07/2023,voter,AS,ASHEBORO SOUTH,04,REP,W,UN,M,Age Over 66,27,11/27/2023
RANDOLPH,11/07/2023,voter,SW,SOUTHWEST,18,REP,W,UN,U,Age 26 - 40,1,11/27/2023
RANDOLPH,11/07/2023,voter,AN,ASHEBORO NORTH,10,UNA,O,HL,M,Age 41 - 65,6,11/27/2023
RANDOLPH,11/07/2023,voter,DR,DEEP RIVER,20,DEM,B,UN,M,Age 41 - 65,13,11/27/2023
RANDOLPH,11/07/2023,voter,AW,ASHEBORO WEST,07,REP,B,NL,M,Age 41 - 65,1,11/27/2023
RANDOLPH,11/07/2023,voter,AE,ASHEBORO EAST,05,UNA,U,NL,F,Age 18 - 25,1,11/27/2023
RANDOLPH,11/07/2023,voter,AE,ASHEBORO EAST,05,LIB,W,HL,M,Age 41 - 65,1,11/27/2023
RANDOLPH,11/07/2023,voter,AE,ASHEBORO EAST,06,DEM,W,UN,F,Age 41 - 65,15,11/27/2023
RANDOLPH,11/07/2023,voter,AE,ASHEBORO EAST,05,REP,W,HL,F,Age 41 - 65,1,11/27/2023
RANDOLPH,11/07/2023,voter,AS,ASHEBORO SOUTH,04,DEM,O,UN,F,Age 41 - 65,1,11/27/2023
RANDOLPH,11/07/2023,voter,AW,ASHEBORO WEST,12,DEM,W,UN,F,Age Over 66,4,11/27/2023
RANDOLPH,11/07/2023,voter,AW,ASHEBORO WEST,12,UNA,A,UN,F,Age Over 66,1,11/27/2023
RANDOLPH,11/07/2023,voter,SW,SOUTHWEST,18,REP,W,NL,F,Age 41 - 65,173,11/27/2023
RANDOLPH,11/07/2023,voter,AE,ASHEBORO EAST,05,UNA,B,NL,F,Age 41 - 65,17,11/27/2023
RANDOLPH,11/07/2023,voter,AN,ASHEBORO NORTH,09,UNA,W,NL,U,Age 41 - 65,3,11/27/2023
RANDOLPH,11/07/2023,voter,AN,ASHEBORO NORTH,09,DEM,O,UN,M,Age 41 - 65,2,11/27/2023
RANDOLPH,11/07/2023,voter,AE,ASHEBORO EAST,06,REP,U,HL,M,Age 18 - 25,2,11/27/2023
RANDOLPH,11/07/2023,voter,AW,ASHEBORO WEST,07,REP,W,UN,U,Age 41 - 65,2,11/27/2023
